Heart_Rate,Time
624,20:08:10
657,20:08:10
701,20:08:10
760,20:08:10
831,20:08:10
915,20:08:10
992,20:08:10
1023,20:08:10
1023,20:08:10
1023,20:08:10
1023,20:08:10
1023,20:08:10
1023,20:08:10
996,20:08:10
944,20:08:10
892,20:08:10
834,20:08:10
781,20:08:10
732,20:08:10
693,20:08:10
668,20:08:10
653,20:08:10
651,20:08:10
652,20:08:10
661,20:08:10
677,20:08:10
685,20:08:10
695,20:08:10
700,20:08:10
706,20:08:10
707,20:08:10
705,20:08:10
702,20:08:10
696,20:08:10
685,20:08:10
678,20:08:10
663,20:08:10
647,20:08:10
636,20:08:10
631,20:08:10
627,20:08:10
630,20:08:10
633,20:08:10
635,20:08:10
637,20:08:10
641,20:08:10
639,20:08:10
639,20:08:10
641,20:08:10
652,20:08:10
675,20:08:10
702,20:08:10
740,20:08:10
784,20:08:10
834,20:08:10
890,20:08:10
940,20:08:10
989,20:08:10
1023,20:08:10
1023,20:08:10
1023,20:08:10
1023,20:08:10
993,20:08:10
942,20:08:10
885,20:08:10
831,20:08:10
777,20:08:10
737,20:08:10
706,20:08:10
681,20:08:10
672,20:08:10
672,20:08:10
684,20:08:10
705,20:08:10
729,20:08:10
753,20:08:10
777,20:08:10
795,20:08:10
808,20:08:10
811,20:08:10
807,20:08:10
800,20:08:10
785,20:08:10
765,20:08:10
745,20:08:10
727,20:08:10
714,20:08:10
703,20:08:10
697,20:08:10
695,20:08:10
694,20:08:10
698,20:08:10
700,20:08:10
703,20:08:10
706,20:08:10
722,20:08:10
749,20:08:10
790,20:08:10
842,20:08:10
899,20:08:10
961,20:08:10
1023,20:08:10
1023,20:08:10
1023,20:08:10
1023,20:08:10
1023,20:08:10
1023,20:08:10
988,20:08:10
927,20:08:10
860,20:08:10
793,20:08:10
737,20:08:10
693,20:08:10
663,20:08:10
647,20:08:10
641,20:08:10
649,20:08:10
662,20:08:10
675,20:08:10
689,20:08:10
698,20:08:10
706,20:08:10
711,20:08:10
712,20:08:10
714,20:08:10
712,20:08:10
706,20:08:10
707,20:08:10
705,20:08:10
703,20:08:10
699,20:08:10
692,20:08:10
683,20:08:10
673,20:08:10
667,20:08:10
663,20:08:10
663,20:08:10
667,20:08:10
671,20:08:10
677,20:08:10
681,20:08:10
688,20:08:10
691,20:08:10
691,20:08:10
690,20:08:10
695,20:08:10
705,20:08:10
729,20:08:10
768,20:08:10
819,20:08:10
888,20:08:10
958,20:08:10
1023,20:08:10
1023,20:08:10
1023,20:08:10
1023,20:08:10
1023,20:08:10
1023,20:08:10
1023,20:08:10
1023,20:08:10
990,20:08:10
923,20:08:10
859,20:08:10
803,20:08:10
750,20:08:10
712,20:08:10
685,20:08:10
669,20:08:10
667,20:08:10
679,20:08:10
695,20:08:10
712,20:08:10
730,20:08:10
736,20:08:10
749,20:08:10
757,20:08:10
766,20:08:10
762,20:08:10
758,20:08:10
744,20:08:10
732,20:08:10
717,20:08:10
702,20:08:10
693,20:08:10
